,created_at,tweet_id,Location,tweet_text,screen_name,name,account_creation_date,urls,Likes,Retweet,label,final_tweet
615,2021-03-09 11:29:55,1369249084742062082,"武汉, 湖北, 中华人民共和国","['rt', '@', 'billboard', ':', 'blackpink', 'stars', 'in', 'the', 'new', 'adidas', 'campaign', 'https', ':', '//t.co/iqfycwkffl']",cblinkslove,FOR BLACKPINK♕🇨🇳,Mon Sep 03 12:23:24 +0000 2018,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,877,1,"['rt', 'billboard', 'blackpink', 'star', 'new', 'adidas', 'campaign', 'http']"
616,2021-03-09 11:29:53,1369249076705964036,"Nakuru,kenya","['rt', '@', 'maureen_wm', ':', 'normalize', 'buying', 'your', 'shoes', '@', 'poise254', 'adidas', 'dragon', 'sizes', '40-45', 'ksh', '3800', '📩', '📞', '0717787755', '/0733787755', 'delivery', 'done', 'countryw…']",FinnestPipeline,Nakuru Kiddo🇰🇪🇰🇪,Sun Oct 25 12:39:31 +0000 2020,[],0,25,0,"['rt', 'normalize', 'buying', 'shoe', 'adidas', 'dragon', 'size', 'ksh', 'delivery', 'do']"
618,2021-03-09 11:29:44,1369249037224972289,Republic of the Philippines,"['rt', '@', 'billboard', ':', 'blackpink', 'stars', 'in', 'the', 'new', 'adidas', 'campaign', 'https', ':', '//t.co/iqfycwkffl']",imcarlajoygabi2,💛👑💛Carla Joy Gabito💛👑💛,Sun Jul 15 14:23:43 +0000 2018,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,877,1,"['rt', 'billboard', 'blackpink', 'star', 'new', 'adidas', 'campaign', 'http']"
620,2021-03-09 11:29:42,1369249027540271105,Southside,"['rt', '@', 'saint', ':', 'adidas', 'x', 'bad', 'bunny', '🐰', 'https', ':', '//t.co/3in2zzwamo']",madchonky,reVy,Tue Oct 10 10:32:11 +0000 2017,[],0,367,-1,"['rt', 'saint', 'adidas', 'x', 'bad', 'bunny', 'http']"
621,2021-03-09 11:29:38,1369249010301743109,Colombia,"['rt', '@', 'billboard', ':', 'blackpink', 'stars', 'in', 'the', 'new', 'adidas', 'campaign', 'https', ':', '//t.co/iqfycwkffl']",RubyJennlisa23,Rubyjennlisa,Thu Nov 04 01:09:17 +0000 2010,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,877,1,"['rt', 'billboard', 'blackpink', 'star', 'new', 'adidas', 'campaign', 'http']"
624,2021-03-09 11:29:29,1369248974553645056,Ireland,"['#', 'sportwear', 'and', '#', 'toy', 'shop', 'where', 'you', 'can', 'find', '#', 'sportwear', ',', '#', 'kidsgifts', 'and', 'much', 'more', '!', '@', 'ebay_uk', '@', 'ebaydeals_uk…', 'https', ':', '//t.co/hd2qehxksh']",Cris_ast85,Cristina Ferreras,Thu Sep 16 07:24:21 +0000 2010,"[{'url': 'https://t.co/hD2QEHXkSh', 'expanded_url': 'https://twitter.com/i/web/status/1369248974553645056', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [107, 130]}]",0,0,1,"['sportwear', 'toy', 'shop', 'find', 'sportwear', 'kidsgifts', 'much', 'http']"
625,2021-03-09 11:29:25,1369248956417515525,Philippines,"['rt', '@', 'billboard', ':', 'blackpink', 'stars', 'in', 'the', 'new', 'adidas', 'campaign', 'https', ':', '//t.co/iqfycwkffl']",NiniAndLili23,Khiezzzz/LisaIsMyPriority⁰³²⁷,Fri Jan 17 23:32:48 +0000 2020,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,877,1,"['rt', 'billboard', 'blackpink', 'star', 'new', 'adidas', 'campaign', 'http']"
626,2021-03-09 11:29:20,1369248937492684804,She/her,"['rt', '@', 'billboard', ':', 'blackpink', 'stars', 'in', 'the', 'new', 'adidas', 'campaign', 'https', ':', '//t.co/iqfycwkffl']",BUCKSTANJAM,⁴JAM⁷-L🍊🐈,Sat Mar 08 09:29:03 +0000 2014,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,877,1,"['rt', 'billboard', 'blackpink', 'star', 'new', 'adidas', 'campaign', 'http']"
630,2021-03-09 11:29:13,1369248905066520576,ยกเลิก ม.112,"['rt', '@', 'billboard', ':', 'blackpink', 'stars', 'in', 'the', 'new', 'adidas', 'campaign', 'https', ':', '//t.co/iqfycwkffl']",yesterdayonemo2,𝒶𝓉𝓇𝑜𝓅𝓊𝓇𝓅𝓊𝓇𝑒𝒶,Wed Sep 25 02:10:30 +0000 2019,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,877,1,"['rt', 'billboard', 'blackpink', 'star', 'new', 'adidas', 'campaign', 'http']"
635,2021-03-09 11:29:04,1369248869196984322,Sverige,"['rt', '@', 'billboard', ':', 'blackpink', 'stars', 'in', 'the', 'new', 'adidas', 'campaign', 'https', ':', '//t.co/iqfycwkffl']",Malin456456,ON THE GROUND~R,Tue Jan 28 22:08:43 +0000 2014,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,877,1,"['rt', 'billboard', 'blackpink', 'star', 'new', 'adidas', 'campaign', 'http']"
638,2021-03-09 11:28:56,1369248837236297731,"Philadelphia, PA","['rt', '@', 'billboard', ':', 'blackpink', 'stars', 'in', 'the', 'new', 'adidas', 'campaign', 'https', ':', '//t.co/iqfycwkffl']",itsmeanna_lou,L🦋,Mon Oct 27 05:12:22 +0000 2014,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,877,1,"['rt', 'billboard', 'blackpink', 'star', 'new', 'adidas', 'campaign', 'http']"
639,2021-03-09 11:28:55,1369248833503453185,minor,"['rt', '@', 'billboard', ':', 'blackpink', 'stars', 'in', 'the', 'new', 'adidas', 'campaign', 'https', ':', '//t.co/iqfycwkffl']",rubyjanescheeks,namjoon’s dimples⁷♛🍊,Mon Sep 28 14:46:56 +0000 2020,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,877,1,"['rt', 'billboard', 'blackpink', 'star', 'new', 'adidas', 'campaign', 'http']"
641,2021-03-09 11:28:49,1369248805481181187,LS1,"['rt', '@', 'billboard', ':', 'blackpink', 'stars', 'in', 'the', 'new', 'adidas', 'campaign', 'https', ':', '//t.co/iqfycwkffl']",lalisacarey,LS1,Tue Sep 03 09:20:10 +0000 2013,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,877,1,"['rt', 'billboard', 'blackpink', 'star', 'new', 'adidas', 'campaign', 'http']"
645,2021-03-09 11:28:33,1369248740444434434,"Osaka-shi Kita-ku, Osaka","['rt', '@', 'billboard', ':', 'blackpink', 'stars', 'in', 'the', 'new', 'adidas', 'campaign', 'https', ':', '//t.co/iqfycwkffl']",lego_no_5,legoNO5,Sat Nov 14 14:52:54 +0000 2009,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,877,1,"['rt', 'billboard', 'blackpink', 'star', 'new', 'adidas', 'campaign', 'http']"
649,2021-03-09 11:28:30,1369248727689527301,Boro,"['holabird', 'sports', 'one-day', 'only', 'sale', '!', '15', '%', 'off', 'adidas', 'tennis', 'shoes', 'and', 'clothing', 'https', ':', '//t.co/nsla3kbxsl', '#', 'tuesdaymotivations']",haroldOweemesU,Harold Weemes,Tue Jun 04 02:38:37 +0000 2013,"[{'url': 'https://t.co/nsla3KBxSl', 'expanded_url': 'https://9promocodes.net/holabird-sports-promo-codes/', 'display_url': '9promocodes.net/holabird-sport…', 'indices': [76, 99]}]",0,0,0,"['holabird', 'sport', 'sale', 'adidas', 'tennis', 'shoe', 'clothing', 'http', 'tuesdaymotivations']"
651,2021-03-09 11:28:21,1369248687810097157,ประเทศไทย,"['rt', '@', 'billboard', ':', 'blackpink', 'stars', 'in', 'the', 'new', 'adidas', 'campaign', 'https', ':', '//t.co/iqfycwkffl']",pigchanok,🖤💛💜💗🐰🐱🐥🐿️,Mon Nov 27 02:48:32 +0000 2017,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,877,1,"['rt', 'billboard', 'blackpink', 'star', 'new', 'adidas', 'campaign', 'http']"
652,2021-03-09 11:28:18,1369248677286526981,she/her,"['rt', '@', 'billboard', ':', 'blackpink', 'stars', 'in', 'the', 'new', 'adidas', 'campaign', 'https', ':', '//t.co/iqfycwkffl']",bpvallejxs,can⛓ -54,Thu Nov 19 01:56:08 +0000 2020,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,877,1,"['rt', 'billboard', 'blackpink', 'star', 'new', 'adidas', 'campaign', 'http']"
654,2021-03-09 11:28:15,1369248665500459009,⁽ she/her ⁾ ,"['rt', '@', 'billboard', ':', 'blackpink', 'stars', 'in', 'the', 'new', 'adidas', 'campaign', 'https', ':', '//t.co/iqfycwkffl']",augndiite,𖦹 nadine ᵎᵎ ROSÉ SOLO,Mon Aug 24 07:21:03 +0000 2020,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,877,1,"['rt', 'billboard', 'blackpink', 'star', 'new', 'adidas', 'campaign', 'http']"
657,2021-03-09 11:27:59,1369248597821157376,"กรุงเทพมหานคร, ประเทศไทย","['rt', '@', 'billboard', ':', 'blackpink', 'stars', 'in', 'the', 'new', 'adidas', 'campaign', 'https', ':', '//t.co/iqfycwkffl']",onlyyou_LM,LiLi-FF🌸🌺 🐱,Sun Jun 09 14:36:58 +0000 2019,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,877,1,"['rt', 'billboard', 'blackpink', 'star', 'new', 'adidas', 'campaign', 'http']"
660,2021-03-09 11:27:56,1369248582893703168,he/him,"['rt', '@', 'billboard', ':', 'blackpink', 'stars', 'in', 'the', 'new', 'adidas', 'campaign', 'https', ':', '//t.co/iqfycwkffl']",fdxchu,fadlý | D-3࿐,Tue Jun 30 09:48:35 +0000 2020,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,877,1,"['rt', 'billboard', 'blackpink', 'star', 'new', 'adidas', 'campaign', 'http']"
662,2021-03-09 11:27:40,1369248515356987395,"Adelaide, South Australia","['can', '’', 't', 'wait', 'to', 'test', 'these', 'orange', 'monsters', 'out', '🔥🏃🏻🍊', '#', 'running', '#', 'runninggear', '#', 'runningshoes', '#', 'sneakers', '#', 'adidas…', 'https', ':', '//t.co/vdm2nyw073']",Minispirit_J,John Y,Sat Jan 25 10:52:05 +0000 2014,"[{'url': 'https://t.co/vdM2Nyw073', 'expanded_url': 'https://twitter.com/i/web/status/1369248515356987395', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [104, 127]}]",1,0,0,"['wait', 'test', 'orange', 'monster', 'run', 'runninggear', 'runningshoes', 'sneaker', 'http']"
663,2021-03-09 11:27:39,1369248514585227268,"Jawa Timur, Indonesia","['rt', '@', 'billboard', ':', 'blackpink', 'stars', 'in', 'the', 'new', 'adidas', 'campaign', 'https', ':', '//t.co/iqfycwkffl']",1713Vi,Vi172313,Thu Oct 22 09:09:19 +0000 2020,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,877,1,"['rt', 'billboard', 'blackpink', 'star', 'new', 'adidas', 'campaign', 'http']"
665,2021-03-09 11:27:37,1369248505873772547,INDONESIA,"['rt', '@', 'billboard', ':', 'blackpink', 'stars', 'in', 'the', 'new', 'adidas', 'campaign', 'https', ':', '//t.co/iqfycwkffl']",Indy_Khisahbia,Indy,Sun Oct 27 12:46:47 +0000 2019,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,877,1,"['rt', 'billboard', 'blackpink', 'star', 'new', 'adidas', 'campaign', 'http']"
666,2021-03-09 11:27:35,1369248495639666690,"Charlotte, NC","['rt', '@', 'theconsortium', ':', 'enter', 'our', 'draw', 'for', 'an', 'opportunity', 'to', 'purchase', 'a', 'pair', 'of', 'adidas', 'originals', 'valencia', '‘', 'city', 'series', '’', '.', 'https', ':', '//t.co/xz6iivzwou…']",Gleatham12,Gavan,Wed Oct 14 23:32:05 +0000 2009,"[{'url': 'https://t.co/xz6iIVzwou', 'expanded_url': 'https://bit.ly/3en6MO0', 'display_url': 'bit.ly/3en6MO0', 'indices': [116, 139]}]",0,1,0,"['rt', 'theconsortium', 'enter', 'draw', 'opportunity', 'purchase', 'pair', 'adidas', 'original', 'valencia', 'city', 'series', 'http']"
669,2021-03-09 11:27:24,1369248449569423361,"Kisii, Kenya 🇰🇪 ","['rt', '@', 'maureen_wm', ':', 'normalize', 'buying', 'your', 'shoes', '@', 'poise254', 'adidas', 'dragon', 'sizes', '40-45', 'ksh', '3800', '📩', '📞', '0717787755', '/0733787755', 'delivery', 'done', 'countryw…']",EugeneOngeri,Eugene Ongeri 🇰🇪,Wed Nov 13 13:53:25 +0000 2013,[],0,25,0,"['rt', 'normalize', 'buying', 'shoe', 'adidas', 'dragon', 'size', 'ksh', 'delivery', 'do']"
672,2021-03-09 11:27:20,1369248431093538821,where you listen to blackpink,"['rt', '@', 'billboard', ':', 'blackpink', 'stars', 'in', 'the', 'new', 'adidas', 'campaign', 'https', ':', '//t.co/iqfycwkffl']",yadomm__,설강화 | ON THE G-R-OUND🔜,Tue Jan 15 09:44:24 +0000 2019,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,877,1,"['rt', 'billboard', 'blackpink', 'star', 'new', 'adidas', 'campaign', 'http']"
674,2021-03-09 11:27:18,1369248423677923329,-,"['rt', '@', 'billboard', ':', 'blackpink', 'stars', 'in', 'the', 'new', 'adidas', 'campaign', 'https', ':', '//t.co/iqfycwkffl']",krupock,KruPock,Tue Feb 01 14:29:25 +0000 2011,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,877,1,"['rt', 'billboard', 'blackpink', 'star', 'new', 'adidas', 'campaign', 'http']"
676,2021-03-09 11:27:12,1369248399212609541, ꗃ 𝑳❤︎𝑽𝑬𝑺𝑰𝑪𝑲 𝑮𝑰𝑹𝑳𝑺,"['rt', '@', 'billboard', ':', 'blackpink', 'stars', 'in', 'the', 'new', 'adidas', 'campaign', 'https', ':', '//t.co/iqfycwkffl']",_iJENFECT_,V¡cky ⁴ |♡블랙 핑크♡,Tue Feb 02 01:41:19 +0000 2021,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,877,1,"['rt', 'billboard', 'blackpink', 'star', 'new', 'adidas', 'campaign', 'http']"
678,2021-03-09 11:27:09,1369248384830169089,Golden Closet,"['rt', '@', 'billboard', ':', 'blackpink', 'stars', 'in', 'the', 'new', 'adidas', 'campaign', 'https', ':', '//t.co/iqfycwkffl']",jeankook1997,Ash🌟✨,Sat Aug 29 12:43:40 +0000 2020,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,877,1,"['rt', 'billboard', 'blackpink', 'star', 'new', 'adidas', 'campaign', 'http']"
680,2021-03-09 11:27:01,1369248351816802305,magic shop🌌,"['rt', '@', 'billboard', ':', 'blackpink', 'stars', 'in', 'the', 'new', 'adidas', 'campaign', 'https', ':', '//t.co/iqfycwkffl']",radianipm,Maulia🧸,Thu Sep 10 03:06:54 +0000 2009,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,877,1,"['rt', 'billboard', 'blackpink', 'star', 'new', 'adidas', 'campaign', 'http']"
682,2021-03-09 11:26:50,1369248308045225985,@LISA ,"['rt', '@', 'billboard', ':', 'blackpink', 'stars', 'in', 'the', 'new', 'adidas', 'campaign', 'https', ':', '//t.co/iqfycwkffl']",laliceismine,Lali รักลิซ่าที่สุด,Mon Aug 08 13:44:50 +0000 2016,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,877,1,"['rt', 'billboard', 'blackpink', 'star', 'new', 'adidas', 'campaign', 'http']"
683,2021-03-09 11:26:49,1369248303553056769,black blink| 18| she/her,"['rt', '@', 'billboard', ':', 'blackpink', 'stars', 'in', 'the', 'new', 'adidas', 'campaign', 'https', ':', '//t.co/iqfycwkffl']",LEXNINIS,𝙰✂️| 400K PREORDERS,Fri Oct 05 20:56:02 +0000 2018,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,877,1,"['rt', 'billboard', 'blackpink', 'star', 'new', 'adidas', 'campaign', 'http']"
686,2021-03-09 11:26:38,1369248257876975622,LISA ,"['rt', '@', 'billboard', ':', 'blackpink', 'stars', 'in', 'the', 'new', 'adidas', 'campaign', 'https', ':', '//t.co/iqfycwkffl']",bosoykham,⁰³²⁷💛LISA,Fri Nov 22 04:33:26 +0000 2019,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,877,1,"['rt', 'billboard', 'blackpink', 'star', 'new', 'adidas', 'campaign', 'http']"
690,2021-03-09 11:26:35,1369248244765761536,Beside you ❤,"['rt', '@', 'billboard', ':', 'blackpink', 'stars', 'in', 'the', 'new', 'adidas', 'campaign', 'https', ':', '//t.co/iqfycwkffl']",Nophaaaa,Nova Ardiansih,Sat Feb 13 06:02:08 +0000 2010,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,877,1,"['rt', 'billboard', 'blackpink', 'star', 'new', 'adidas', 'campaign', 'http']"
691,2021-03-09 11:26:34,1369248241783554050,กลางทะเล,"['rt', '@', 'billboard', ':', 'blackpink', 'stars', 'in', 'the', 'new', 'adidas', 'campaign', 'https', ':', '//t.co/iqfycwkffl']",Manoland2016,ManoBlink,Mon Nov 21 11:00:12 +0000 2016,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,877,1,"['rt', 'billboard', 'blackpink', 'star', 'new', 'adidas', 'campaign', 'http']"
692,2021-03-09 11:26:31,1369248225778016257,"Dhaka, Bangladesh","['rt', '@', 'billboard', ':', 'blackpink', 'stars', 'in', 'the', 'new', 'adidas', 'campaign', 'https', ':', '//t.co/iqfycwkffl']",sanzida_suchona,Suchona,Sat Nov 21 10:59:26 +0000 2020,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,877,1,"['rt', 'billboard', 'blackpink', 'star', 'new', 'adidas', 'campaign', 'http']"
695,2021-03-09 11:26:27,1369248208971563014,4D World ,"['rt', '@', 'billboard', ':', 'blackpink', 'stars', 'in', 'the', 'new', 'adidas', 'campaign', 'https', ':', '//t.co/iqfycwkffl']",BpBtsTreasure,Hotaru 🖤💜💙,Sat Jun 13 07:56:57 +0000 2020,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,877,1,"['rt', 'billboard', 'blackpink', 'star', 'new', 'adidas', 'campaign', 'http']"
696,2021-03-09 11:26:26,1369248206781964289,J's,"['rt', '@', 'billboard', ':', 'blackpink', 'stars', 'in', 'the', 'new', 'adidas', 'campaign', 'https', ':', '//t.co/iqfycwkffl']",jenrjleaveyg,J,Sat Jan 12 05:02:22 +0000 2019,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,878,1,"['rt', 'billboard', 'blackpink', 'star', 'new', 'adidas', 'campaign', 'http']"
699,2021-03-09 11:26:18,1369248172254654468,American Samoa,"['rt', '@', 'billboard', ':', 'blackpink', 'stars', 'in', 'the', 'new', 'adidas', 'campaign', 'https', ':', '//t.co/iqfycwkffl']",Nanapas9,NNPS,Sun May 05 07:32:17 +0000 2019,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,878,1,"['rt', 'billboard', 'blackpink', 'star', 'new', 'adidas', 'campaign', 'http']"
701,2021-03-09 11:26:16,1369248164453224451,Belgique,"['rt', '@', 'billboard', ':', 'blackpink', 'stars', 'in', 'the', 'new', 'adidas', 'campaign', 'https', ':', '//t.co/iqfycwkffl']",SoPityStanPinks,Blinkeu 🙉,Tue Dec 20 13:07:28 +0000 2016,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,878,1,"['rt', 'billboard', 'blackpink', 'star', 'new', 'adidas', 'campaign', 'http']"
702,2021-03-09 11:26:16,1369248163110916097,only BTS stan BLΛƆKPIИK stan  ,"['rt', '@', 'billboard', ':', 'blackpink', 'stars', 'in', 'the', 'new', 'adidas', 'campaign', 'https', ':', '//t.co/iqfycwkffl']",amisyeflink99,𝐬𝐲𝐞𝐟 ⁷×⁴ 𝐘𝐎𝐎𝐍𝐆𝐈 𝐃𝐀𝐘💢,Sun May 31 14:47:50 +0000 2020,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,878,1,"['rt', 'billboard', 'blackpink', 'star', 'new', 'adidas', 'campaign', 'http']"
704,2021-03-09 11:26:14,1369248157666865154,"กรุงเทพมหานคร, ประเทศไทย","['rt', '@', 'billboard', ':', 'blackpink', 'stars', 'in', 'the', 'new', 'adidas', 'campaign', 'https', ':', '//t.co/iqfycwkffl']",ksang007,Love you J ❤,Wed Aug 01 08:57:29 +0000 2012,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,878,1,"['rt', 'billboard', 'blackpink', 'star', 'new', 'adidas', 'campaign', 'http']"
705,2021-03-09 11:26:13,1369248151446695941,Pakistan,"['rt', '@', 'billboard', ':', 'blackpink', 'stars', 'in', 'the', 'new', 'adidas', 'campaign', 'https', ':', '//t.co/iqfycwkffl']",Revolution4BP,Jenchulichaeng🇵🇰🌸🌑🇵🇰,Wed Dec 23 13:20:23 +0000 2020,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,878,1,"['rt', 'billboard', 'blackpink', 'star', 'new', 'adidas', 'campaign', 'http']"
708,2021-03-09 11:26:08,1369248131863302146,♡YGFam/OT4_BLINK,"['rt', '@', 'billboard', ':', 'blackpink', 'stars', 'in', 'the', 'new', 'adidas', 'campaign', 'https', ':', '//t.co/iqfycwkffl']",fatcatislouie,heyuublinkue✨,Thu Jul 09 03:25:52 +0000 2020,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,878,1,"['rt', 'billboard', 'blackpink', 'star', 'new', 'adidas', 'campaign', 'http']"
709,2021-03-09 11:26:08,1369248131041406976,BLACKPINK in my area,"['rt', '@', 'billboard', ':', 'blackpink', 'stars', 'in', 'the', 'new', 'adidas', 'campaign', 'https', ':', '//t.co/iqfycwkffl']",NikkiMn__,₇₁₂₁₇₈ fₒᵣₑᵥₑᵣ,Mon Jan 13 07:48:54 +0000 2020,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,878,1,"['rt', 'billboard', 'blackpink', 'star', 'new', 'adidas', 'campaign', 'http']"
712,2021-03-09 11:25:55,1369248076599287808,"Abu Dhabi, United Arab Emirate","['rt', '@', 'billboard', ':', 'blackpink', 'stars', 'in', 'the', 'new', 'adidas', 'campaign', 'https', ':', '//t.co/iqfycwkffl']",heartforlalisa,LalisaJane,Tue Mar 27 06:58:24 +0000 2018,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,878,1,"['rt', 'billboard', 'blackpink', 'star', 'new', 'adidas', 'campaign', 'http']"
713,2021-03-09 11:25:47,1369248041249562628,BLΛƆKPIИK,"['rt', '@', 'billboard', ':', 'blackpink', 'stars', 'in', 'the', 'new', 'adidas', 'campaign', 'https', ':', '//t.co/iqfycwkffl']",ttwisft,faa🖤||📌ʀꜱ1 ɴᴇxᴛ ᴡᴇᴇᴋ(PTS),Thu Mar 26 00:09:23 +0000 2020,"[{'url': 'https://t.co/iqfyCwkffL', 'expanded_url': 'http://blbrd.cm/0NIjoSz', 'display_url': 'blbrd.cm/0NIjoSz', 'indices': [60, 83]}]",0,878,1,"['rt', 'billboard', 'blackpink', 'star', 'new', 'adidas', 'campaign', 'http']"
